Zip,Lon,Lat,State,Pop
00001,-160.026746,59.109123,AK,50
00002,-149.862253,66.274447,AK,330
00003,-158.17571,57.171001,AK,120
00004,-152.554023,61.011035,AK,50
00005,-154.31809,60.174258,AK,160
00006,-149.423445,62.586486,AK,210
00007,-148.228723,69.630966,AK,70
00009,-153.597755,61.602269,AK,10
00010,-161.985513,62.501659,AK,650
00011,-151.149026,60.213584,AK,320
00014,-112.805013,31.887574,AZ,60
00016,-118.420535,35.494778,CA,30
00019,-120.233727,40.557059,CA,30
00026,-118.111596,35.934052,CA,10
00032,-119.517249,34.750951,CA,10
00034,-123.246026,41.93174,CA,50
00035,-121.941318,41.543672,CA,10
00038,-121.787877,40.08467,CA,20
00039,-123.306145,40.324692,CA,50
00041,-80.460049,26.006619,FL,20
00042,-80.794737,27.95439,FL,40
00043,-80.800788,25.726683,FL,440
00053,-80.534455,26.555784,FL,160
00054,-123.886423,41.191312,CA,10
00055,-123.289145,40.945906,CA,100
00056,-116.368661,43.215474,ID,20
00057,-119.745764,34.013924,CA,20
00059,-92.959576,48.437333,MN,10
00061,-119.549929,33.250091,CA,60
00064,-107.128033,35.324464,NM,10
00067,-98.661993,34.706097,OK,240
00069,-122.248925,43.949724,OR,30
00071,-111.342968,40.009875,UT,30
00072,-121.484331,48.825424,WA,20
00074,-120.696225,46.265247,WA,40
00076,-120.534826,48.66357,WA,20
00087,-80.813334,27.748331,FL,60
00097,-80.985279,25.768562,FL,10
00100,-111.796418,40.829783,UT,10
00121,-89.204717,29.068954,LA,10
00125,-69.670591,46.867457,ME,10
00127,-68.127494,44.876648,ME,10
00130,-68.695448,45.79822,ME,200
00132,-70.012066,45.956223,ME,20
00133,-70.250507,45.279294,ME,20
00134,-67.66876,45.120813,ME,90
00135,-69.013078,45.812356,ME,50
00137,-67.960428,46.391864,ME,10
00151,-67.391933,44.906286,ME,70
00160,-90.849987,48.049255,MN,30
00161,-91.294957,47.99967,MN,30
00164,-95.499141,48.444095,MN,20
00165,-95.177763,48.612742,MN,10
00166,-95.40591,48.118437,MN,10
00177,-71.257767,44.257615,NH,10
00188,-97.286181,27.460188,TX,10
00197,-112.355799,32.546269,AZ,180
00198,-148.897699,60.976445,AK,500
00199,-111.710283,33.974957,AZ,10
01001,-72.622252,42.069668,MA,17150
01002,-72.511397,42.374384,MA,31020
01003,-72.525729,42.386845,MA,10290
01005,-72.10962,42.409728,MA,5060
01007,-72.409112,42.272931,MA,15080
01008,-72.940796,42.184349,MA,1340
01010,-72.202238,42.13265,MA,3940
01011,-72.97026,42.290441,MA,1370
01012,-72.83835,42.38253,MA,590
01013,-72.602255,42.161295,MA,23690
01020,-72.575504,42.175399,MA,30100
01022,-72.55926,42.19496,MA,2550
01026,-72.91628,42.464266,MA,1100
01027,-72.680409,42.265706,MA,18120
01028,-72.5037,42.065704,MA,15870
01030,-72.675171,42.070925,MA,11800
01031,-72.182063,42.350403,MA,1370
01032,-72.825243,42.455409,MA,240
01033,-72.515868,42.256704,MA,6330
01034,-72.91794,42.069907,MA,2060
01035,-72.569326,42.360541,MA,5340
01036,-72.428831,42.066067,MA,5250
01037,-72.207794,42.312793,MA,820
01038,-72.608587,42.381267,MA,2390
01039,-72.691305,42.393093,MA,1720
01040,-72.626542,42.201921,MA,40640
01050,-72.867171,42.26251,MA,2670
01053,-72.70177,42.353416,MA,1390
01054,-72.49774,42.469042,MA,1830
01056,-72.471179,42.175923,MA,21580
01057,-72.321705,42.097385,MA,8600
01060,-72.635971,42.323541,MA,13990
01062,-72.678028,42.325621,MA,12380
01063,-72.640251,42.319467,MA,1910
01068,-72.054117,42.348791,MA,2060
01069,-72.323194,42.176028,MA,10020
01070,-72.919861,42.515509,MA,610
01071,-72.8584,42.179085,MA,1620
01072,-72.424635,42.46287,MA,1430
01073,-72.719472,42.226583,MA,5950
01075,-72.582136,42.238131,MA,18000
01077,-72.769568,42.052109,MA,9470
01080,-72.363315,42.181115,MA,2450
01081,-72.226345,42.059857,MA,1530
01082,-72.256847,42.267588,MA,10740
01083,-72.191855,42.213443,MA,4090
01084,-72.883659,42.385178,MA,160
01085,-72.751657,42.128052,MA,42340
01088,-72.639252,42.393852,MA,700
01089,-72.639852,42.115748,MA,28470
01092,-72.219203,42.213416,MA,80
01095,-72.443751,42.126361,MA,14110
01096,-72.775009,42.412685,MA,2820
01098,-72.935667,42.396876,MA,1170
01103,-72.587595,42.103805,MA,2820
01104,-72.578341,42.12862,MA,24010
01105,-72.577627,42.101,MA,11950
01106,-72.567249,42.051383,MA,16360
01107,-72.605795,42.118795,MA,10960
01108,-72.55807,42.086032,MA,26870
01109,-72.552421,42.115477,MA,30380
01118,-72.526553,42.093066,MA,14510
01119,-72.51245,42.125577,MA,14720
01128,-72.488231,42.095814,MA,2670
01129,-72.487431,42.123706,MA,7100
01151,-72.503884,42.153364,MA,8900
01201,-73.248386,42.453083,MA,46110
01220,-73.117269,42.623221,MA,8330
01222,-73.317442,42.058803,MA,810
01223,-73.085747,42.30321,MA,2180
01224,-73.199647,42.50277,MA,160
01225,-73.154541,42.56184,MA,3170
01226,-73.161757,42.472831,MA,6740
01230,-73.357429,42.192489,MA,8700
01235,-73.089403,42.430455,MA,2950
01236,-73.372466,42.256936,MA,1250
01237,-73.232375,42.532121,MA,2100
01238,-73.244821,42.302565,MA,6220
01240,-73.271048,42.36423,MA,4680
